country,year,tourism_exports,gdp,inflation,unemployment
Ukraine,2014,3.45986918515802,133503871861.723,12.0718562874251,9.27
United States,2014,9.30973793087307,17608138000000.0,1.62222297740817,6.168
Armenia,2015,30.4681876250111,10553337518.414,3.73169119261693,18.261
Australia,2015,14.8839960783164,1351296372254.31,1.50836672165921,6.055
Azerbaijan,2015,12.6559919656668,53076235354.746,4.02768573742726,4.96
Belgium,2015,2.49524252107009,461044767544.531,0.561429152790065,8.482
Bulgaria,2015,11.0135286135671,50811995688.6771,-0.104633261008385,9.143
Colombia,2015,11.2346080616094,293492370193.166,4.9898311584953,8.572
Costa Rica,2015,19.8763598756152,56441920820.5194,0.801982005099623,8.415
El Salvador,2015,17.3993321806867,23438240000.0,-0.731384487387957,3.998
Finland,2015,4.80759577587628,233210733506.25,-0.207928839905268,9.376
France,2015,8.63622450181254,2442483452642.5,0.0375143805125182,10.354
Hungary,2015,6.32924174953863,125174166987.372,-0.0616446800641672,6.813
Indonesia,2015,7.03491461479772,860854232717.718,6.36312113115612,4.514
Japan,2015,3.47707717432204,4444930651964.18,0.795279630579839,3.385
Kazakhstan,2015,3.83273752153495,184388404706.042,6.67828585615244,4.93
"Korea, Rep.",2015,2.92094162628276,1466038936206.43,0.70633177245575,3.546
Luxembourg,2015,5.27560472346659,60071584216.1375,0.474743161437779,6.796
"Macao SAR, China",2015,89.4081600119668,45048190598.3249,4.56056338028164,1.81
Mauritius,2015,31.1420691679214,12007291045.6489,1.2865497076024,7.41
Mexico,2015,4.5260057464754,1213294467716.88,2.72064064964023,4.311
Moldova,2015,12.055842663216,7797667196.73087,9.6762403310186,1.742
Norway,2015,4.37863728795006,388159512245.53,2.17113665389527,4.296
Panama,2015,22.0678757847826,55767806100.0,0.137492058461504,4.402
Paraguay,2015,2.72492447595275,36211447840.0971,3.12900274473925,4.556
Peru,2015,10.3045296775666,189802976285.619,3.39809194746308,3.272
Romania,2015,3.03046057360825,177885131240.315,-0.594156437495203,6.812
Russian Federation,2015,3.35491826921939,1363482182197.71,15.5344050528403,5.615
Slovenia,2015,7.82061616940982,42709468274.8137,-0.525552285820877,8.962
Sri Lanka,2015,23.4784983928422,85140955388.8509,3.76836783062096,4.519
Turkiye,2015,16.4362087169817,864313810469.009,7.67085364845877,10.304
Ukraine,2015,3.47248338974552,91030967789.0717,48.6998646434424,9.14
United States,2015,10.1094096508835,18295019000000.0,0.118627135552451,5.28
Armenia,2016,29.0923324403997,10546136235.5219,-1.403607559009,17.617
Australia,2016,15.5768529022338,1206836962281.84,1.27699094497324,5.711
Azerbaijan,2016,16.241153193554,37866996882.9157,12.4433748584372,5.0
Belgium,2016,2.32417318712609,474271566739.729,1.97385264653181,7.83
Bulgaria,2016,12.0416382898551,53964253211.84,-0.79864988645371,7.575
Colombia,2016,13.1661287090721,282720100286.228,7.51346024627675,8.922
Costa Rica,2016,20.2603493491788,58847019609.6549,-0.0174788505908217,8.085
El Salvador,2016,16.896619671591,24191430000.0,0.60404908699661,4.418
Finland,2016,4.76298554539055,238777818792.608,0.356684500891695,8.818
France,2016,8.2652071524863,2470407619777.13,0.18333486112386,10.057
Hungary,2016,6.73306239685082,128609822750.039,0.394769306686392,5.115
Indonesia,2016,7.48897480226927,931877364034.196,3.5258051568793,4.301
Japan,2016,4.12261250156936,5003677627544.24,-0.127258844489754,3.132
Kazakhstan,2016,4.72787040310455,137278320084.171,14.3610942386247,4.96
"Korea, Rep.",2016,3.44862140848265,1499679823909.61,0.971685739912168,3.65
Luxembourg,2016,4.74362569162515,62216885435.9488,0.290833333333317,6.669
"Macao SAR, China",2016,90.1922046623701,45070808688.9611,2.36895749705898,1.939
Mauritius,2016,35.067754597232,12594155464.4136,0.977675134718965,6.814
Mexico,2016,5.04846822205906,1112233497452.7,2.8217078474766,3.853
Moldova,2016,13.1132542980216,7980917075.7748,6.35930898037932,1.557
Norway,2016,4.82088305144799,370956547619.048,3.54999999999998,4.68
Panama,2016,24.9246885700145,59760858700.0,0.739734025300033,4.843
Paraguay,2016,2.60347386859324,36089700222.9461,4.08682280577241,5.255
Peru,2016,9.98262682662538,191898104390.379,3.55717663556279,3.741
Romania,2016,3.1475625381071,185290759248.844,-1.54479666813897,5.901
Russian Federation,2016,3.85795074694915,1276786350881.14,7.04244762954799,5.591
Slovenia,2016,7.82108273459792,44290685824.0682,-0.054999541670474,8.0
Sri Lanka,2016,26.312689143426,88012282205.8357,3.9588884659307,4.243
Turkiye,2016,12.9910550177674,869682881593.041,7.7751341532833,10.899
Ukraine,2016,3.74500086941401,93355869403.9223,13.9127101997797,9.35
United States,2016,10.199328461316,18804913000000.0,1.26158320570536,4.869
Armenia,2017,27.7525101092655,11527458709.0158,0.969553268816138,17.705
Australia,2017,14.8312093742564,1325582658156.54,1.94864740944527,5.592
Azerbaijan,2017,16.1991901614566,40866627351.9817,12.9359184187335,5.0
Belgium,2017,2.30439193938752,500908767351.53,2.12597086002607,7.09
Bulgaria,2017,11.700003186576,59309748166.1179,2.06159619443141,6.164
Colombia,2017,11.9602679643097,311866875156.879,4.31431325695011,9.086
Costa Rica,2017,19.3627805381231,60516044656.5206,1.62590692991732,7.729
El Salvador,2017,16.9833748808091,24979190000.0,1.0123540331558,4.385
Finland,2017,5.37280002400941,253846138440.0,0.754015047084346,8.64
France,2017,8.1987360688008,2588868323334.71,1.03228275064662,9.41
Hungary,2017,6.85785437468792,143112196040.326,2.34824281150154,4.156
Indonesia,2017,7.56448547148604,1015618744168.08,3.80879806953157,3.783
Japan,2017,4.22357825807153,4930837369151.42,0.484199796126385,2.822
Kazakhstan,2017,4.20907085889854,166805788827.233,7.44266321306792,4.9
"Korea, Rep.",2017,2.56309033501664,1623074183501.9,1.94433230786366,3.653
Luxembourg,2017,4.26916915222136,65712180342.9836,1.73079959118887,5.523
"Macao SAR, China",2017,90.1882370599245,50383871120.8733,1.22812404052816,1.987
