Unnamed: 0,Rank,NOC,Gold,Silver,Bronze,Total,Year,country_code,GDP_1year,GDP_2year,GDP_3year,GDP_4year,pop_1year,pop_2year,pop_3year,pop_4year,host,Area,avg_gold,std_gold,avg_silver,std_silver,avg_bronze,std_bronze,avg_total,std_total,life_expectancy
78,71,Macedonia,0,0,1,1,2000,MKD,3863619262.0,3765745000.0,3912986091.0,4642021256.0,2017142.0,2007523.0,1996869.0,2012553.0,0.0,25713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.308
79,71,Qatar,0,0,1,1,2000,QAT,12393131868.0,10255495027.0,11297802115.0,9059340385.0,612500.0,580540.0,550500.0,529019.0,0.0,11586,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,75.048
80,72,Palestine,0,0,0,0,2000,PLE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,6220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.789
81,72,Rwanda,0,0,0,0,2000,RWA,2157024758.0,1989343548.0,1851558199.0,1382334879.0,8147912.0,8081681.0,7755238.0,6708764.0,0.0,26338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.749
82,72,Lebanon,0,0,0,0,2000,LIB,17391056369.0,17247179006.0,15751867489.0,13690217333.0,4255277.0,4181281.0,4108405.0,4034781.0,0.0,10452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.513
83,72,Guinea Bissau,0,0,0,0,2000,GBS,580000000.0,590000000.0,700000000.0,740000000.0,1210206.0,1187473.0,1165545.0,1143535.0,0.0,36125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
84,72,Botswana,0,0,0,0,2000,BOT,5484263050.0,4790481509.0,5020265168.0,4847757704.0,1641997.0,1606899.0,1571691.0,1535914.0,0.0,582000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.499
85,72,Liechtenstein,0,0,0,0,2000,LIE,2664105901.0,2479698576.0,2298390595.0,2504012993.0,32221.0,31668.0,31232.0,31033.0,0.0,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.151
86,72,Individual Olympic Athletes,0,0,0,0,2000,IOA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
87,72,Eritrea,0,0,0,0,2000,ERI,688918508.9,745523074.7,686490090.1,693535954.2,2212780.0,2180419.0,2152135.0,2128464.0,0.0,117600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.506
88,72,Cote d'Ivoire,0,0,0,0,2000,CIV,18870992456.0,19619654770.0,18047558027.0,18071152821.0,17215935.0,16663948.0,16047170.0,15442312.0,0.0,322463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.273
89,72,Bhutan,0,0,0,0,2000,BHU,399311196.4,363458380.9,352229078.3,303408342.8,582579.0,569435.0,558697.0,548784.0,0.0,38394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.032
